Nombre,Empresa,Correo,Teléfono,Sitio web,Dirección,Ciudad,País,Categoría,Notas
Casas y Terrenos Punta Norte,Punta Norte & Asociados,hola@puntanorte5.mx,443 4783 7549,puntanorte5.mx,Av. Constitución 259,Morelia,México,Asesoría inmobiliaria,"Cliente potencial, llamar por la mañana"
Casas y Terrenos Costa Azul,,contacto@costaazul5.com,614 4920 7760,www.costaazul5.mx,,Chihuahua,México,Inmobiliaria,"Propiedades vacacionales, alta temporada"
Casas y Terrenos San Ángel,San Ángel S de RL,ventas@sanangel5.com,844 5057 7971,,Blvd. Díaz Ordaz 261,Saltillo,México,Constructora,
Casas y Terrenos Bosques,Bosques Grupo,info@bosques5.mx,55 5194 8182,www.bosques5.mx,Calz. del Valle 262,Ciudad de México,México,Desarrolladora,Referido por contacto en la feria
Casas y Terrenos Providencia,Providencia & Asociados,hola@providencia5.com,33 5331 8393,providencia5.mx,Av. Constitución 263,Guadalajara,México,Administración de propiedades,Espacios corporativos y coworking
Casas y Terrenos Chapultepec,Chapultepec SA de CV,contacto@chapultepec5.com,81 5468 8604,www.chapultepec5.mx,,Monterrey,México,Terrenos,
Casas y Terrenos Reforma,,,222 5605 8815,reforma5.mx,Blvd. Díaz Ordaz 265,Puebla,México,Oficinas,Prefieren contacto por WhatsApp
Casas y Terrenos Insurgentes,Insurgentes Grupo,info@insurgentes5.com,442 5742 9026,www.insurgentes5.mx,Calz. del Valle 266,Querétaro,México,Arrendamiento,Cartera amplia en la zona norte
Casas y Terrenos Polanco,Polanco & Asociados,hola@polanco5.com,999 5879 9237,polanco5.mx,Av. Constitución 267,Mérida,México,Asesoría inmobiliaria,
Casas y Terrenos Country,Country SA de CV,contacto@country5.mx,998 6016 9448,,,Cancún,México,Inmobiliaria,Interesados en departamentos de lujo
Casas y Terrenos Lomas Verdes,Lomas Verdes S de RL,ventas@lomasverdes5.com,477 6153 9659,lomasverdes5.mx,Blvd. Díaz Ordaz 269,León,México,Constructora,Zona premium
Casas y Terrenos Cumbres,,info@cumbres5.com,664 6290 9870,www.cumbres5.mx,Calz. del Valle 270,Tijuana,México,Desarrolladora,"Manejan casas, terrenos y locales"
Casas y Terrenos Valle Alto,Valle Alto & Asociados,hola@vallealto5.mx,722 6427 1081,vallealto5.mx,Av. Constitución 271,Toluca,México,Administración de propiedades,"Cliente potencial, llamar por la mañana"
Inmobiliaria Vista Hermosa,,ventas@vistahermosa0.com,999 1685 2055,vistahermosa0.mx,Blvd. Díaz Ordaz 105,Mérida,México,Oficinas,
Grupo Inmobiliario Costa Azul,,contacto@costaazul1.com,442 6480 9440,www.costaazul1.mx,,Querétaro,México,Inmobiliaria,"Propiedades vacacionales, alta temporada"
Constructora Punta Norte,Punta Norte & Asociados,,722 5563 3889,puntanorte3.mx,Av. Constitución 199,Toluca,México,Administración de propiedades,"Cliente potencial, llamar por la mañana"
,Empresa sin nombre SA,x@ejemplo.mx,55 1111 2222,,,Ciudad de México,México,Inmobiliaria,Fila sin nombre a proposito
,,otro@ejemplo.mx,,,,,,,
Inmobiliaria Correo Roto,Correo Roto SA,esto-no-es-un-correo,55 3333 4444,correoroto.mx,Av. Falsa 123,Puebla,México,Inmobiliaria,Email invalido a proposito
Desarrollos Arroba Falta,,ventas.arrobafalta.mx,81 5555 6666,,,Monterrey,México,Desarrolladora,Email sin arroba
Grupo Punto Final,Punto Final,info@puntofinal,33 7777 8888,,,Guadalajara,México,Inmobiliaria,Email sin dominio
"Bienes Raíces ""El Mirador""",El Mirador SA de CV,contacto@elmirador.mx,442 999 0000,elmirador.mx,"Av. Principal 45, Local 3, Piso 2",Querétaro,México,Inmobiliaria,"Manejan casas, terrenos y locales comerciales"
Inmobiliaria Peña Muñoz,Peña & Muñoz,atencion@penamunoz.mx,999 123 4567,penamunoz.mx,Calle 60 #321 x 35 y 37,Mérida,México,Asesoría inmobiliaria,Atención en español e inglés
